comment,price,title,link
0,35.00,榛子野生东北坚果手剥500g吉林特产零食纯天然散装孕妇儿童非油炸,https://item.taobao.com/item.htm?id=546177325401
1,35.00,夏威夷果 250gX2罐包邮 罐装食品 孕妇坚果零食 干果 夏果500g,https://item.taobao.com/item.htm?id=551409877497
2,19.90,百草味坚果组合498g多味花生 黄金豆爆米花 蟹黄瓜子仁休闲零食,https://item.taobao.com/item.htm?id=548423360532
2,110.00,三只松鼠旗舰店开口松子218gx2袋零食坚果特产炒货东北红松子,https://item.taobao.com/item.htm?id=530787563058
0,40.00,云南大姚野生薄皮核桃坚果 散装农家纸皮新货生核桃原味干果1000g,https://item.taobao.com/item.htm?id=546613711222
0,19.90,百草味多味花生包邮210g小包装零食香辣味坚果炒货促销秒杀特产吃,https://item.taobao.com/item.htm?id=541703840938
9,4.50,山东新花生米 农家花生 花生仁 红衣花生 生花生 坚果零食250克,https://item.taobao.com/item.htm?id=18356511897
0,25.00,农家散装原味生晒紫衣花生纯香酥脆花生零食坚果客家特产干货花生,https://item.taobao.com/item.htm?id=553958284650
11,88.90,3三只松鼠旗舰店坚果组合3袋共630g碧根果炭烧腰果手剥巴旦木,https://item.taobao.com/item.htm?id=536904801539
5,499.90,包邮三只松鼠旗舰店零食蜜饯果干坚果混合组合套餐礼包非礼盒14袋,https://item.taobao.com/item.htm?id=541819937452
30,39.80,三只松鼠旗舰店蟹黄味瓜子仁218gX2袋坚果零食炒货葵花籽仁包邮,https://item.taobao.com/item.htm?id=45102808013
1,55.80,李玉宝 东北特产 大颗粒野生红松松子仁 坚果年货零食 罐装250g,https://item.taobao.com/item.htm?id=545389855302
0,25.00,黑玉珍 黑花生150g 袋装坚果类休闲食品 办公室零食,https://item.taobao.com/item.htm?id=551355048298
1,59.80,百草味-精品巴旦木180gx2袋坚果干果炒货特产奶香味薄壳休闲美食,https://item.taobao.com/item.htm?id=541648451008
6,17.80,甘源牌 瓜子仁 蟹黄味500g 独立小包装零食美味坚果,https://item.taobao.com/item.htm?id=552515748532
0,20.00,恒康食品 开心果120g/袋 原味原色无漂白坚果干果休闲炒货零食,https://item.taobao.com/item.htm?id=555472093576
1,23.80,【精核坊】山核桃味瓜籽零食坚果炒货500g大颗,https://item.taobao.com/item.htm?id=524207641375
5,99.80,三只松鼠旗舰店_芒果核桃仁160g盒 休闲零食坚果果干芒果干核桃仁,https://item.taobao.com/item.htm?id=548055350252
6,3.70,甘源蟹黄瓜子蚕豆青豆组合75g 坚果休闲零食小吃炒货独立小包,https://item.taobao.com/item.htm?id=548285284590
0,25.00,新疆特产干果坚果零食阿克苏185纸皮非薄皮原味核桃包邮（500克散,https://item.taobao.com/item.htm?id=530534842469
2,62.90,新货山核桃仁坚果休闲零食小吃干果炒货临安特产小核桃仁180g袋装,https://item.taobao.com/item.htm?id=535948098238
140,17.50,泰国原装进口大哥花生豆230g 7种口味任选休闲特产坚果零食品罐装,https://item.taobao.com/item.htm?id=550937297356
2,155.90,三只松鼠旗舰店夏威夷果265gx4袋年货零食奶油味坚果干果送开口器,https://item.taobao.com/item.htm?id=550174415850
15,26.70,恒康食品 零食坚果 美国山核桃长寿果 碧根果仁108g 独立小包装,https://item.taobao.com/item.htm?id=41690704588
0,4.50,香港特产四洲零食干果坚果甘栗仁即食板栗粟子50g 100g,https://item.taobao.com/item.htm?id=554623864140
2,30.00,马小兜 休闲零食品坚果巴达木带壳杏仁袋装200g全国包邮,https://item.taobao.com/item.htm?id=544531277964
37,75.80,坚果零食特产 纸皮巴旦木 薄壳壳杏仁500g 巴达木 扁桃仁零食包邮,https://item.taobao.com/item.htm?id=18886899866
3,12.90,百草味笑口板栗120g 香糯带壳特产小吃办公室休闲零食品 坚果炒货,https://item.taobao.com/item.htm?id=547412473681
0,32.80,德国seeberger思贝格坚果仁150g混合果仁什锦花色果干烘焙零食品,https://item.taobao.com/item.htm?id=555376403833
6,68.00,新疆特产山核桃原味核桃核桃仁特级500克干货坚果零食核桃仁包邮,https://item.taobao.com/item.htm?id=540974907197
